stk_id,date,open,high,low,close,cumadj
000006.SZ,2022/12/30,6.29,6.46,6.21,6.3,42.9506
000011.SZ,2022/12/30,11.54,11.63,11.4,11.59,4.31476
000016.SZ,2022/12/30,4.52,4.55,4.47,4.51,19.1097
000019.SZ,2022/12/30,7.4,7.52,7.31,7.51,4.28059
000025.SZ,2022/12/30,17.36,17.4,17.1,17.15,1.95869
000028.SZ,2022/12/30,33.52,33.54,32.6,32.89,3.20151
000029.SZ,2022/12/30,13.65,13.97,13.26,13.89,1.5398
000030.SZ,2022/12/30,4.41,4.44,4.37,4.4,2.49498
000032.SZ,2022/12/30,20,20.66,19.63,20.15,3.17411
000034.SZ,2022/12/30,21.86,22.55,21.55,21.94,1.95649
000035.SZ,2022/12/30,5.08,5.12,5.04,5.07,2.60738
000036.SZ,2022/12/30,4.04,4.11,4.03,4.05,11.1003
000048.SZ,2022/12/30,17.09,17.95,17.05,17.85,6.74394
000049.SZ,2022/12/30,44.45,44.58,43.42,43.48,5.51819
000058.SZ,2022/12/30,8.03,8.1,7.63,7.9,2.24448
000059.SZ,2022/12/30,6.78,6.86,6.77,6.8,1.28904
000061.SZ,2022/12/30,5.62,5.7,5.55,5.7,21.9465
000062.SZ,2022/12/30,12.07,12.26,11.99,12.21,5.81529
000065.SZ,2022/12/30,8.15,8.32,8.09,8.25,18.1362
000088.SZ,2022/12/30,4.94,5.09,4.93,5.07,6.05132
000090.SZ,2022/12/30,5.47,5.53,5.44,5.46,6.41665
000403.SZ,2022/12/30,22.6,23.5,22.38,22.76,4.74957
000422.SZ,2022/12/30,14.55,14.73,14.42,14.71,10.6042
000426.SZ,2022/12/30,6.18,6.21,6.07,6.09,12.5421
000488.SZ,2022/12/30,4.95,4.98,4.91,4.98,7.75185
000498.SZ,2022/12/30,6.82,6.9,6.78,6.87,2.1576
000503.SZ,2022/12/30,10.17,10.35,10,10.16,8.19251
000517.SZ,2022/12/30,2.96,3,2.92,2.95,13.1322
